numChars,numWords,avgWordLen,hasPunctuation,capsRatio,totalEntities,hasHashtags,totalHashtags,hasURLs,totalURLs,hasUserMentions,totalUserMentions,wasRetweeted,isRetweet,numPunctuation,numDigits,gender
83,17,4,True,0.228915662651,1,False,0,False,0,True,1,False,False,13,3,F
38,8,4,True,0.263157894737,2,False,0,False,0,True,2,False,True,8,5,M
52,9,5,True,0.0576923076923,1,False,0,False,0,True,1,True,True,3,0,M
108,21,5,True,0.0833333333333,1,False,0,True,1,False,0,False,True,11,3,F
57,13,4,True,0.175438596491,1,False,0,True,1,False,0,False,True,6,1,F
88,20,4,True,0.215909090909,1,False,0,True,1,False,0,False,True,15,17,F
22,3,7,True,0.681818181818,1,False,0,False,0,True,1,False,False,1,0,M
67,15,4,True,0.10447761194,2,False,0,True,1,True,1,False,True,8,1,F
98,17,5,True,0.142857142857,1,False,0,True,1,False,0,False,True,13,12,F
74,13,5,True,0.189189189189,1,False,0,False,0,True,1,False,False,13,6,F
13,2,6,True,0.230769230769,1,False,0,False,0,True,1,False,False,1,1,M
22,5,4,True,0.0454545454545,0,False,0,False,0,False,0,False,True,1,0,F
66,19,3,True,0.030303030303,0,False,0,False,0,False,0,False,True,7,0,F
78,16,4,True,0.166666666667,4,True,3,True,1,False,0,False,True,10,2,F
80,19,4,True,0.05,0,False,0,False,0,False,0,False,True,3,1,F
19,3,6,True,0.0,1,False,0,False,0,True,1,False,False,4,4,M
88,18,4,True,0.238636363636,1,False,0,False,0,True,1,False,False,14,7,F
19,3,6,True,0.105263157895,1,False,0,False,0,True,1,False,False,2,0,F
106,22,4,True,0.179245283019,1,False,0,True,1,False,0,False,True,13,1,F
13,5,2,True,0.0769230769231,0,False,0,False,0,False,0,False,True,1,0,M
83,16,5,True,0.204819277108,1,False,0,False,0,True,1,False,False,13,6,F
21,5,4,True,0.0952380952381,0,False,0,False,0,False,0,False,True,3,6,F
28,7,4,True,0.142857142857,1,False,0,False,0,True,1,False,False,2,3,M
74,14,5,True,0.22972972973,1,False,0,False,0,True,1,False,False,14,6,F
107,21,5,True,0.0841121495327,3,False,0,False,0,True,3,False,True,6,0,F
21,2,10,True,0.190476190476,1,False,0,False,0,True,1,False,False,4,0,M
59,15,3,True,0.101694915254,1,True,1,False,0,False,0,False,True,4,0,M
61,16,3,True,0.0491803278689,0,False,0,False,0,False,0,False,True,6,0,F
55,9,6,True,0.145454545455,2,False,0,True,1,True,1,False,False,6,1,F
45,10,4,True,0.0666666666667,4,True,3,False,0,True,1,False,False,8,1,F
28,7,4,False,0.0357142857143,0,False,0,False,0,False,0,False,True,0,0,M
93,22,4,True,0.0322580645161,1,False,0,False,0,True,1,False,False,4,0,F
77,18,4,True,0.025974025974,2,True,1,False,0,True,1,False,True,4,0,M
61,15,4,True,0.409836065574,1,False,0,False,0,True,1,False,True,6,6,M
50,10,5,True,0.2,2,True,1,False,0,True,1,True,True,9,0,F
86,22,3,True,0.0348837209302,1,False,0,False,0,True,1,False,True,4,0,F
46,7,6,True,0.108695652174,1,False,0,False,0,True,1,False,False,8,4,F
108,22,4,True,0.12037037037,1,False,0,True,1,False,0,False,True,13,2,F
64,14,4,True,1.0,2,True,2,False,0,False,0,False,True,3,0,F
29,6,4,True,0.206896551724,0,False,0,False,0,False,0,False,True,5,2,F
32,6,5,True,0.3125,0,False,0,False,0,False,0,False,True,1,0,F
39,7,5,False,0.0512820512821,0,False,0,False,0,False,0,False,True,0,0,M
83,18,4,True,0.132530120482,1,False,0,True,1,False,0,False,True,10,4,F
28,7,4,False,0.0357142857143,0,False,0,False,0,False,0,False,True,0,0,M
100,22,4,True,0.35,1,False,0,True,1,False,0,False,True,14,11,F
94,24,3,True,0.117021276596,1,False,0,True,1,False,0,False,True,16,12,F
